;City;Place found;Latitude;Longitude;Obscuration;Magnitude
172;Głogówek ;Głogówek, gmina Głogówek, powiat prudnicki, województwo opolskie, 48-250, Polska;50.3534;17.8619;7.4;0.161
173;Głowno ;Głowno, powiat zgierski, województwo łódzkie, 95-015, Polska;51.9661;19.7136;9.8;0.194
174;Głubczyce ;Głubczyce, gmina Głubczyce, powiat głubczycki, województwo opolskie, 48-100, Polska;50.2001;17.8293;7.2;0.157
175;Głuchołazy ;Głuchołazy, gmina Głuchołazy, powiat nyski, województwo opolskie, 48-340, Polska;50.3171;17.3834;7.5;0.162
176;Głuszyca ;Głuszyca, gmina Głuszyca, powiat wałbrzyski, województwo dolnośląskie, 58-340, Polska;50.6862;16.3731;8.6;0.177
177;Gniew;Gniew, gmina Gniew, powiat tczewski, województwo pomorskie, 83-140, Polska;53.8342;18.8252;13.9;0.246
178;Gniewkowo ;Gniewkowo, gmina Gniewkowo, powiat inowrocławski, województwo kujawsko-pomorskie, 88-140, Polska;52.8944;18.4067;12.1;0.224
179;Gniezno ;Gniezno, powiat gnieźnieński, województwo wielkopolskie, Polska;52.5360;17.5959;11.7;0.219
180;Gogolin ;Gogolin, gmina Gogolin, powiat krapkowicki, województwo opolskie, 47-320, Polska;50.4925;18.0176;7.6;0.164
181;Golczewo ;Golczewo, gmina Golczewo, powiat kamieński, województwo zachodniopomorskie, Polska;53.8241;14.9773;15.4;0.264
182;Goleniów ;Goleniów, gmina Goleniów, powiat goleniowski, województwo zachodniopomorskie, 72-100, Polska;53.5657;14.8301;14.9;0.258
183;Golina ;Golina, gmina Golina, powiat koniński, województwo wielkopolskie, Polska;52.2428;18.0953;10.9;0.209
184;Golub-Dobrzyń ;Golub-Dobrzyń, powiat golubsko-dobrzyński, województwo kujawsko-pomorskie, Polska;53.1139;19.0545;12.3;0.227
185;Gołańcz ;Gołańcz, gmina Gołańcz, powiat wągrowiecki, województwo wielkopolskie, 62-130, Polska;52.9432;17.3000;12.6;0.23
186;Gołdap ;Gołdap, gmina Gołdap, powiat gołdapski, województwo warmińsko-mazurskie, Polska;54.3080;22.3019;13.9;0.246
187;Goniądz ;Goniądz, gmina Goniądz, powiat moniecki, województwo podlaskie, 19-110, Polska;53.4892;22.7324;12.0;0.223
188;Goraj ;Goraj, gmina Goraj, powiat biłgorajski, województwo lubelskie, Polska;50.7212;22.6682;6.7;0.15
189;Gorlice ;Gorlice, powiat gorlicki, województwo małopolskie, Polska;49.6583;21.1594;5.3;0.127
190;Gorzów Śląski ;Gorzów Śląski, gmina Gorzów Śląski, powiat oleski, województwo opolskie, 46-310, Polska;51.0282;18.4223;8.5;0.176
191;Gorzów Wielkopolski ;Gorzów Wielkopolski, województwo lubuskie, Polska;52.7310;15.2400;13.0;0.235
192;Gostynin ;Gostynin, powiat gostyniński, województwo mazowieckie, Polska;52.4288;19.4613;10.8;0.207
193;Gostyń ;Gostyń, gmina Gostyń, powiat gostyński, województwo wielkopolskie, 63-800, Polska;51.8779;17.0168;10.6;0.205
194;Gościno ;Gościno, gmina Gościno, powiat kołobrzeski, województwo zachodniopomorskie, 78-120, Polska;54.0516;15.6534;15.6;0.266
195;Gozdnica ;Gozdnica, powiat żagański, województwo lubuskie, 68-130, Polska;51.4373;15.0960;10.5;0.204
196;Góra;Góra, gmina Góra, powiat górowski, województwo dolnośląskie, 56-200, Polska;51.6681;16.5393;10.4;0.202
197;Góra Kalwaria ;Góra Kalwaria, gmina Góra Kalwaria, powiat piaseczyński, województwo mazowieckie, Polska;51.9844;21.2140;9.4;0.189
198;Górowo Iławeckie ;Górowo Iławeckie, powiat bartoszycki, województwo warmińsko-mazurskie, 11-220, Polska;54.2886;20.4905;14.3;0.251
199;Górzno ;Górzno, gmina Górzno, powiat brodnicki, województwo kujawsko-pomorskie, Polska;53.1981;19.6446;12.3;0.227
200;Grabów nad Prosną ;Grabów nad Prosną, gmina Grabów nad Prosną, powiat ostrzeszowski, województwo wielkopolskie, Polska;51.5061;18.1189;9.5;0.19
201;Grajewo ;Grajewo, powiat grajewski, województwo podlaskie, Polska;53.6470;22.4549;12.4;0.228
